sample_id,split,audio_path,reference_text_path,channel_mode,sample_rate_hz,duration_sec,domain_tag,noise_level,accent_tag
00100001001_20260226_0927380383_200,dev,Recordings Examples\20260226\200\00100001001_20260226_0927380383_200.mp3,data\bakeoff\references\00100001001_20260226_0927380383_200.txt,multi,8000,21.000,phone_calls,medium,
00100001001_20260226_1025360207_200,dev,Recordings Examples\20260226\200\00100001001_20260226_1025360207_200.mp3,data\bakeoff\references\00100001001_20260226_1025360207_200.txt,multi,8000,18.000,phone_calls,medium,
00100001001_20260226_1121340060_200,dev,Recordings Examples\20260226\200\00100001001_20260226_1121340060_200.mp3,data\bakeoff\references\00100001001_20260226_1121340060_200.txt,multi,8000,24.000,phone_calls,medium,
00100001001_20260226_1138260670_200,dev,Recordings Examples\20260226\200\00100001001_20260226_1138260670_200.mp3,data\bakeoff\references\00100001001_20260226_1138260670_200.txt,multi,8000,38.000,phone_calls,medium,
00100001001_20260226_1403000819_200,dev,Recordings Examples\20260226\200\00100001001_20260226_1403000819_200.mp3,data\bakeoff\references\00100001001_20260226_1403000819_200.txt,multi,8000,5.000,phone_calls,medium,
00100001001_20260226_1408320182_200,dev,Recordings Examples\20260226\200\00100001001_20260226_1408320182_200.mp3,data\bakeoff\references\00100001001_20260226_1408320182_200.txt,multi,8000,26.000,phone_calls,medium,
00100002000_20260226_0928000328_201,validation,Recordings Examples\20260226\201\00100002000_20260226_0928000328_201.mp3,data\bakeoff\references\00100002000_20260226_0928000328_201.txt,multi,8000,19.000,phone_calls,medium,
00100002000_20260226_1036500345_201,dev,Recordings Examples\20260226\201\00100002000_20260226_1036500345_201.mp3,data\bakeoff\references\00100002000_20260226_1036500345_201.txt,multi,8000,13.000,phone_calls,medium,
00100002000_20260226_1409180271_201,dev,Recordings Examples\20260226\201\00100002000_20260226_1409180271_201.mp3,data\bakeoff\references\00100002000_20260226_1409180271_201.txt,multi,8000,41.000,phone_calls,medium,
00100002000_20260226_1423050824_201,validation,Recordings Examples\20260226\201\00100002000_20260226_1423050824_201.mp3,data\bakeoff\references\00100002000_20260226_1423050824_201.txt,multi,8000,10.000,phone_calls,medium,
00100002000_20260226_1444350470_201,validation,Recordings Examples\20260226\201\00100002000_20260226_1444350470_201.mp3,data\bakeoff\references\00100002000_20260226_1444350470_201.txt,multi,8000,10.000,phone_calls,medium,
00100004000_20260226_1057350073_203,dev,Recordings Examples\20260226\203\00100004000_20260226_1057350073_203.mp3,data\bakeoff\references\00100004000_20260226_1057350073_203.txt,multi,8000,6.000,phone_calls,medium,
