sample_id,job_id,status,draft_text_path,draft_chars
00100001001_20260226_1416000896_200,1dc5b6fe-c36b-4f17-9543-b5a713f4a2f2,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100001001_20260226_1416000896_200.txt,0
00100016003_20260226_1416000900_215,96960551-93b2-4418-9042-c9f32123f9cc,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100016003_20260226_1416000900_215.txt,0
00100001001_20260226_1403000819_200,b225c126-154a-4803-b8f4-827f8618c1ef,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100001001_20260226_1403000819_200.txt,39
00100004000_20260226_1057350073_203,8c61b02b-a56b-42a2-acb7-79b92dd94bf2,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100004000_20260226_1057350073_203.txt,40
00100007000_20260226_0949590955_206,9fce0e37-9732-4a1c-becf-8b0355c0fcc8,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100007000_20260226_0949590955_206.txt,40
00100002000_20260226_1423050824_201,10896e7e-a122-4817-8e2e-91bd98cceb47,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260226_1423050824_201.txt,94
00100002000_20260226_1444350470_201,a62719df-81f1-4301-9a9a-b31cecbd75b2,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260226_1444350470_201.txt,76
00100004000_20260226_1423050818_203,6abeada9-b354-4f12-b8f8-40b33e4a8406,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100004000_20260226_1423050818_203.txt,94
00100002000_20260227_0957000407_201,d425d3c2-4d04-416e-9a45-d1bce745e083,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260227_0957000407_201.txt,70
00100016003_20260227_0957000392_215,8b8c4aa6-6b4a-4cbd-9e7e-a4c40ee431e1,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100016003_20260227_0957000392_215.txt,70
00100002000_20260226_1036500345_201,9b62880f-86b7-4c8e-b666-e0c7674ab010,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260226_1036500345_201.txt,54
00100002000_20260227_1148440650_201,8d24699f-e107-4840-8161-9b5d47654010,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260227_1148440650_201.txt,39
00100016003_20260227_1148440669_215,cf47e06a-7499-4af7-8e21-8c67cda2f961,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100016003_20260227_1148440669_215.txt,38
00100001001_20260226_1025360207_200,c3305df3-2a01-4212-bb2f-7b25fa1b2fed,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100001001_20260226_1025360207_200.txt,168
00100014000_20260226_1025360208_213,cde39254-96d5-4172-ba1c-bc68a09cd433,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100014000_20260226_1025360208_213.txt,168
00100002000_20260226_0928000328_201,811e0c40-3697-4b38-9d6e-c842c99e99fd,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260226_0928000328_201.txt,208
00100016003_20260226_0928000345_215,1c86fa83-26d5-4351-9bf1-625afd03146f,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100016003_20260226_0928000345_215.txt,208
00100001001_20260226_0927380383_200,61c19902-efad-4da0-b9cb-728cd1ea2066,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100001001_20260226_0927380383_200.txt,126
00100002000_20260227_1157410295_201,d9c7a38f-ad65-462e-bdc1-5a33936abf57,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100002000_20260227_1157410295_201.txt,154
00100016003_20260227_1157410276_215,f44d5ee3-9f4a-45c3-b714-8c9adbda622a,completed,C:\tools\Projects\heb_transcription\data\bakeoff\references_draft_short20\00100016003_20260227_1157410276_215.txt,154
